brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Clinique,Aromatics Elixir Perfume,https://www.parfumo.com/Perfumes/Clinique/Aromatics_Elixir_Perfume,WOMEN,195,7.6,611,,,,,,https://media.parfumo.com/perfumes/82/82bf1d-aromatics-elixir-perfume-clinique_1200.jpg?width=240&aspect_ratio=1:1,
Cartier,Must de Cartier Parfum,https://www.parfumo.com/Perfumes/Cartier/Must_de_Cartier_Parfum,WOMEN,196,8.7,272,,,,,,https://media.parfumo.com/perfumes/0a/0a071d-must-de-cartier-parfum-cartier_1200.jpg?width=240&aspect_ratio=1:1,
Lalique,Amethyst,https://www.parfumo.com/Perfumes/Lalique/Amethyst,WOMEN,197,7.5,664,,,,,,https://media.parfumo.com/perfumes/02/02f8ee-amethyst-lalique_1200.jpg?width=240&aspect_ratio=1:1,
Juliette Has A Gun,Not a Perfume Eau de Parfum,https://www.parfumo.com/Perfumes/Juliette_Has_a_Gun/not-a-perfume-eau-de-parfum,WOMEN,198,6.7,1244,,,,,,https://media.parfumo.com/perfumes/0a/0a69c9-not-a-perfume-eau-de-parfum-juliette-has-a-gun_1200.jpg?width=240&aspect_ratio=1:1,
Mugler,Alien Goddess Eau de Parfum,https://www.parfumo.com/Perfumes/mugler/alien-goddess-eau-de-parfum,WOMEN,199,7.2,803,,,,,,https://media.parfumo.com/perfumes/67/67b631-alien-goddess-eau-de-parfum-mugler_1200.jpg?width=240&aspect_ratio=1:1,
Molinard,Habanita (2012) Eau de Parfum,https://www.parfumo.com/Perfumes/Molinard/Habanita_Eau_de_Parfum,WOMEN,200,8.0,429,,,,,,https://media.parfumo.com/perfumes/81/8135bb-habanita-2012-eau-de-parfum-molinard_1200.jpg?width=240&aspect_ratio=1:1,
Nasomatto,Narcotic V. Extrait de Parfum,https://www.parfumo.com/Perfumes/Nasomatto/Narcotic_Venus_Narcotic_V_,WOMEN,201,7.9,461,,,,,,https://media.parfumo.com/perfumes/e3/e3e8c3-narcotic-v-narcotic-venus-extrait-de-parfum-nasomatto_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,Bois des Îles Eau de Toilette,https://www.parfumo.com/Perfumes/Chanel/Bois_des_Iles_2007,WOMEN,202,8.1,401,,,,,,https://media.parfumo.com/perfumes/bd/bdd968-bois-des-iles-eau-de-toilette-chanel_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,L'Heure de Nuit,https://www.parfumo.com/Perfumes/Guerlain/L_Heure_de_Nuit,WOMEN,203,8.2,370,,,,,,https://media.parfumo.com/perfumes/9e/9e88e4-l-heure-de-nuit-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Jean Paul Gaultier,Scandal Le Parfum,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/scandal-le-parfum,WOMEN,204,8.0,430,,,,,,https://media.parfumo.com/perfumes/81/8113be-scandal-le-parfum-jean-paul-gaultier_1200.jpg?width=240&aspect_ratio=1:1,
Goutal,Nuit et Confidences,https://www.parfumo.com/Perfumes/goutal/Nuit_et_Confidences,WOMEN,205,8.0,418,,,,,,https://media.parfumo.com/perfumes/e7/e7fd9d-nuit-et-confidences-goutal_1200.jpg?width=240&aspect_ratio=1:1,
Juicy Couture,Viva La Juicy Gold Couture,https://www.parfumo.com/Perfumes/Juicy_Couture/Viva_La_Juicy_Gold_Couture,WOMEN,206,7.9,453,,,,,,https://media.parfumo.com/perfumes/8c/8c9171-viva-la-juicy-gold-couture-juicy-couture_1200.jpg?width=240&aspect_ratio=1:1,
Cartier,Baiser Volé Eau de Parfum,https://www.parfumo.com/Perfumes/Cartier/Baiser_Vole_Eau_de_Parfum,WOMEN,207,7.5,616,,,,,,https://media.parfumo.com/perfumes/ca/ca7722-baiser-vole-eau-de-parfum-cartier_1200.jpg?width=240&aspect_ratio=1:1,
Lattafa,Ana Abiyedh Poudrée,https://www.parfumo.com/Perfumes/Lattafa/ana-abiyedh-poudree,WOMEN,208,7.8,504,,,,,,https://media.parfumo.com/perfumes/14/14a55b-ana-abiyedh-poudree-lattafa_1200.jpg?width=240&aspect_ratio=1:1,
Sol de Janeiro,Cheirosa '40 Perfume Mist,https://www.parfumo.com/Perfumes/Sol_de_Janeiro/cheirosa-40-perfume-mist,WOMEN,209,8.0,429,,,,,,https://media.parfumo.com/perfumes/9a/9a1bf3_cheirosa-40-sol-de-janeiro_1200.jpg?width=240&aspect_ratio=1:1,
Jean Paul Gaultier,Classique Eau de Parfum,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Classique_Eau_de_Parfum,WOMEN,210,8.1,402,,,,,,https://media.parfumo.com/perfumes/c0/c065fb-classique-eau-de-parfum-jean-paul-gaultier_1200.jpg?width=240&aspect_ratio=1:1,
Editions de Parfums Frédéric Malle,Iris Poudre,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/Iris_Poudre,WOMEN,211,7.8,495,,,,,,https://media.parfumo.com/perfumes/bb/bb318b-iris-poudre-editions-de-parfums-frederic-malle_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Miss Dior Blooming Bouquet (2014),https://www.parfumo.com/Perfumes/Dior/Miss_Dior_Blooming_Bouquet_2014,WOMEN,212,7.8,503,,,,,,https://media.parfumo.com/perfumes/34/349fe2-miss-dior-blooming-bouquet-2014-dior_1200.jpg?width=240&aspect_ratio=1:1,
Kayali,Musk | 12,https://www.parfumo.com/Perfumes/Kayali/Musk__12,WOMEN,213,8.0,419,,,,,,https://media.parfumo.com/perfumes/94/9493c7_musk-12-kayali_1200.jpg?width=240&aspect_ratio=1:1,
Estēe Lauder,Youth-Dew Eau de Parfum,https://www.parfumo.com/Perfumes/Estee_Lauder/Youth_Dew_Eau_de_Parfum,WOMEN,214,7.7,523,,,,,,https://media.parfumo.com/perfumes/67/674a8a-youth-dew-eau-de-parfum-estee-lauder_1200.jpg?width=240&aspect_ratio=1:1,
Paloma Picasso,Paloma Picasso Eau de Parfum,https://www.parfumo.com/Perfumes/Paloma_Picasso/Paloma_Picasso_Mon_Parfum_Eau_de_Parfum,WOMEN,215,7.8,469,,,,,,https://media.parfumo.com/perfumes/0a/0a84b2-paloma-picasso-mon-parfum-eau-de-parfum-paloma-picasso_1200.jpg?width=240&aspect_ratio=1:1,
